date,category,region,store_size,month,day_of_week,is_weekend,promotion,footfall,avg_basket,discount_pct,sales
2021-01-01,Groceries,West,Small,1,4,0,0,68,10.31,6.2,707.11
2021-01-02,Sports,Central,Small,1,5,1,0,16,11.78,10.7,182.28
2021-01-03,Electronics,West,Medium,1,6,1,0,115,9.48,14.4,1025.5
2021-01-04,Electronics,East,Small,1,0,0,1,43,11.62,1.5,643.52
2021-01-05,Groceries,Central,Large,1,1,0,1,269,8.84,4.0,2372.36
2021-01-06,Clothing,North,Large,1,2,0,1,62,10.47,3.9,718.95
2021-01-07,Groceries,North,Medium,1,3,0,0,60,9.32,14.4,484.55
2021-01-08,Groceries,East,Medium,1,4,0,1,142,10.04,13.0,1395.78
2021-01-09,Home & Garden,North,Medium,1,5,1,0,75,7.75,12.2,574.22
2021-01-10,Sports,East,Large,1,6,1,0,74,11.94,11.3,777.79
2021-01-11,Groceries,East,Medium,1,0,0,1,96,11.54,13.4,1059.52
2021-01-12,Sports,North,Small,1,1,0,1,23,9.49,20.8,287.72
2021-01-13,Sports,Central,Medium,1,2,0,0,48,11.17,15.1,448.85
2021-01-14,Sports,Central,Small,1,3,0,1,42,9.1,0.5,487.72
2021-01-15,Home & Garden,South,Small,1,4,0,1,41,9.61,27.2,367.65
2021-01-16,Sports,North,Medium,1,5,1,1,46,8.81,8.3,556.56
2021-01-17,Groceries,South,Medium,1,6,1,1,113,10.27,24.0,1059.93
2021-01-18,Clothing,North,Large,1,0,0,1,62,10.96,10.6,717.87
2021-01-19,Home & Garden,West,Large,1,1,0,1,61,12.01,16.4,665.15
2021-01-20,Electronics,North,Small,1,2,0,0,65,9.27,23.6,435.41
2021-01-21,Sports,West,Medium,1,3,0,0,24,8.3,24.5,170.31
2021-01-22,Electronics,North,Large,1,4,0,1,80,8.61,0.5,881.91
2021-01-23,Electronics,North,Small,1,5,1,1,40,10.38,5.2,532.84
2021-01-24,Electronics,West,Small,1,6,1,1,73,9.17,19.3,698.11
2021-01-25,Clothing,East,Medium,1,0,0,1,84,9.61,17.8,810.53
2021-01-26,Groceries,South,Large,1,1,0,0,124,9.92,16.7,1056.43
2021-01-27,Electronics,West,Small,1,2,0,1,45,9.91,12.3,517.95
2021-01-28,Home & Garden,Central,Medium,1,3,0,1,76,8.88,25.2,673.46
2021-01-29,Home & Garden,West,Medium,1,4,0,1,41,9.21,0.3,540.1
2021-01-30,Groceries,East,Medium,1,5,1,0,170,12.53,23.1,1550.02
2021-01-31,Groceries,East,Small,1,6,1,1,86,8.97,7.0,819.83
2021-02-01,Sports,Central,Small,2,0,0,1,24,10.17,16.1,360.69
2021-02-02,Clothing,West,Medium,2,1,0,0,65,12.33,14.4,647.41
2021-02-03,Groceries,Central,Small,2,2,0,0,29,9.93,5.1,277.97
